Resource ID,Resource,Previous For groups,Reviewed For groups,Changed,Decision note
res-sleep-in-heavenly-peace-st-george,Sleep in Heavenly Peace UT-St George free beds for children,Children & teens,Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-suu-head-start-washington-county,Southern Utah University Head Start Preschool - Washington County centers,Families with children; Children & teens,Families with children; Children & teens; Low-income households; Caregivers; Students,Yes,"An enrolled preschool classroom program, consistent with district preschool; parent education alone would not establish Students."
res-sbhc-youth-smr,Southwest Behavioral Health Center Stabilization and Mobile Response for youth,People in recovery; Children & teens,People in recovery; Families with children; Children & teens; Uninsured & underinsured,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sbhc-children-family-outpatient,"Southwest Behavioral Health Center Washington County behavioral health, case management, Medicaid coordination, transportation help, and ID fee-waiver verification access",People in recovery; Children & teens,People in recovery; Families with children; Children & teens; People with disabilities; Low-income households; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-swuhealth-baby-your-baby,Baby Your Baby temporary prenatal Medicaid - Southwest Utah access,Pregnant & postpartum people; Women; Low-income households,Pregnant & postpartum people; Women; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-swuhealth-breastfeeding-lactation,Southwest Utah Public Health Department lactation and WIC breastfeeding support,Families with children,Families with children; Children & teens; Pregnant & postpartum people; Women; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-swuhealth-car-seat-program,Southwest Utah Public Health Department Car Seat Program and Safety Checks,,Families with children; Children & teens; Pregnant & postpartum people; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-swuhealth-clinic-child-immunizations,Southwest Utah Public Health Department Washington County clinic and child immunizations,Children & teens; Uninsured & underinsured,Families with children; Children & teens; Pregnant & postpartum people; Uninsured & underinsured,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-swuhealth-developmental-screening,Southwest Utah Public Health Department Developmental Screening,Children & teens; Spanish-speaking people,Families with children; Children & teens; Spanish-speaking people,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-swuhealth-maternal-mental-health-screening,Southwest Utah Public Health Department Maternal Mental Health Screening,Families with children; Pregnant & postpartum people,Families with children; Pregnant & postpartum people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-swuhealth-wic-washington-county,Southwest Utah Public Health Department Washington County WIC,Families with children; Children & teens; Pregnant & postpartum people; People experiencing homelessness; Caregivers; Foster & kinship families,Families with children; Children & teens; Pregnant & postpartum people; Women; People experiencing homelessness; Low-income households; Caregivers; Foster & kinship families,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-st-george-childrens-museum-museums-for-all,St. George Children's Museum Museums for All reduced admission,Families with children; Children & teens,Families with children; Children & teens; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-stepping-stones-st-george-child-care,Stepping Stones St. George Child Care Center,Families with children; Spanish-speaking people,Families with children; Children & teens; Spanish-speaking people; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-summit-behavior-services-st-george,Summit Behavior Services St. George autism and developmental-delay services,Families with children; Children & teens; People with disabilities,Families with children; Children & teens; People with disabilities; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-switchpoint-diaper-assistance,Switchpoint Community Resource Center diaper assistance,Families with children; Spanish-speaking people,Families with children; Children & teens; Spanish-speaking people; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-switchpoint-family-emergency-shelter,"Switchpoint Community Resource Center shelter, meals, case management, transportation assistance, mental-health support, coordinated entry, ID-recovery help, and veteran homeless-service linkage",Veterans & military families; People experiencing homelessness; Low-income households; Spanish-speaking people,Veterans & military families; Families with children; Children & teens; People experiencing homelessness; Low-income households; Spanish-speaking people,Yes,Official campus family housing and playground establish a child-family route; no guaranteed minor emergency bed is implied.
res-tans-treats-school-backpack-meals,Tan's Treats school-based backpack meals for children,Children & teens,Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-the-birth-sweet-midwifery-birth-center,The Birth Sweet midwifery and freestanding birth center,Pregnant & postpartum people; Spanish-speaking people,Families with children; Children & teens; Pregnant & postpartum people; Women; Spanish-speaking people,Yes,Routine newborn hearing screening is not itself a deaf/disability-specific service.
res-the-well-pregnancy-resource-center-st-george,The Well Pregnancy Resource Center St. George pregnancy support and material assistance,Families with children; Pregnant & postpartum people,Families with children; Children & teens; Pregnant & postpartum people; Men; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-salvation-army-st-george-outpost-family-food-child-assistance,"The Salvation Army St. George Outpost food, fuel-voucher, transportation, and family assistance",,Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
